Trial_Number,Sampler,Objective_Value,datetime_start,datetime_complete,Duration,SVM_C,Classifier,Entropy_Delay,Denoiser,EMD_Threshold,Feature,HFD_Kmax,KNN_Metric,KNN_Neighbors,MLP_Learning_Rate,LR_C,MLP_Units,Entropy_Order,PCA_param,RF_MinSamplesSplit,RF_Estimators,SVM_Kernel,WPD_Threshold,WPD_Wavelet,Cache_Size,Classification_Time,SignalProcessing_Time,HPOptimization_Time,State,Random_Seed
90,TPE,0.063318484,48:14.0,48:14.5,0 days 00:00:00.529392,,KNN,,EMD,0.4,STAT,,minkowski,1,,,,,0.75,,,,,,,,0.25,,PRUNED,0
91,TPE,0.68285,48:14.5,48:15.5,0 days 00:00:01.002908,,KNN,,EMD,0.25,COV,,minkowski,1,,,,,0.7,,,,,,61093.14,0.29,0.57,0.062487392,COMPLETE,0
92,TPE,0.55938,48:15.5,48:16.5,0 days 00:00:00.970555,,KNN,,EMD,0.3,COV,,minkowski,2,,,,,0.7,,,,,,61105.03,0.34,0.49,0.063192158,COMPLETE,0
93,TPE,0.66578,48:16.5,48:17.5,0 days 00:00:00.976136,,KNN,,EMD,0.2,COV,,minkowski,1,,,,,0.7,,,,,,61115.82,0.32,0.5,0.062288551,COMPLETE,0
94,TPE,0.59478,48:17.5,48:19.0,0 days 00:00:01.485049,,KNN,,EMD,0.35,COV,,euclidean,3,,,,,0.75,,,,,,61133.39,0.82,0.52,0.062485485,COMPLETE,0
95,TPE,0.10469889,48:19.0,49:33.8,0 days 00:01:14.735413,,RF,,EMD,0.15,WAVE,,,,,,,,0.75,810,302,,,,,,72.28,,PRUNED,0
96,TPE,0.011105554,49:33.8,50:02.5,0 days 00:00:28.684876,,KNN,,EMD,0.3,FRAC,17,minkowski,2,,,,,0.65,,,,,,,,28.27,,PRUNED,0
97,TPE,0.143925016,50:02.5,50:52.2,0 days 00:00:49.694900,,LR,,EMD,0.4,COV,,,,,0.06782221,,,0.7,,,,,,,,49.18,,PRUNED,0
98,TPE,0.71431,50:52.2,50:53.3,0 days 00:00:01.086031,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.7,,,,,,61348.71,0.31,0.62,0.067631035,COMPLETE,0
99,TPE,0.403051318,50:53.3,50:54.2,0 days 00:00:00.925620,,KNN,,EMD,0.15,COV,,minkowski,2,,,,,0.75,,,,,,,,0.62,,PRUNED,0
100,TPE,0.445459123,50:54.2,50:55.1,0 days 00:00:00.915661,,KNN,,EMD,0.4,COV,,minkowski,4,,,,,0.65,,,,,,,,0.6,,PRUNED,0
101,TPE,0.71431,50:55.1,50:56.1,0 days 00:00:00.955693,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.7,,,,,,61366.55,0.3,0.5,0.062730341,COMPLETE,0
102,TPE,0.71431,50:56.1,50:57.1,0 days 00:00:00.958819,,KNN,,EMD,0.3,COV,,minkowski,1,,,,,0.7,,,,,,61366.55,0.3,0.5,0.062867432,COMPLETE,0
103,TPE,0.75965,50:57.1,50:58.1,0 days 00:00:01.044428,,KNN,,EMD,0.2,COV,,minkowski,1,,,,,0.75,,,,,,61382.04,0.39,0.51,0.062926321,COMPLETE,0
104,TPE,0.60684,50:58.1,50:59.2,0 days 00:00:01.041178,,KNN,,EMD,0.2,COV,,minkowski,2,,,,,0.75,,,,,,61397.53,0.32,0.57,0.063343554,COMPLETE,0
105,TPE,0.539025532,50:59.2,51:00.2,0 days 00:00:01.024920,,KNN,,EMD,0.15,COV,,euclidean,3,,,,,0.8,,,,,,,,0.56,,PRUNED,0
106,TPE,0.59982,51:00.2,51:01.3,0 days 00:00:01.045490,,KNN,,EMD,0.25,COV,,minkowski,2,,,,,0.75,,,,,,61411.91,0.36,0.52,0.051549931,COMPLETE,0
107,TPE,0.72116,51:01.3,51:02.9,0 days 00:00:01.554101,,KNN,,EMD,0.55,COV,,minkowski,1,,,,,0.8,,,,,,61439.43,0.42,0.96,0.055799265,COMPLETE,0
108,TPE,0.037988442,51:02.9,51:36.0,0 days 00:00:33.127629,,KNN,,EMD,0.55,STAT,,minkowski,17,,,,,0.8,,,,,,,,32.83,,PRUNED,0
